num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
723,178,0,855,1000,760505847,Avatar ,886204,4834,3054,237000000,936,7.9,33000
302,169,563,1000,40000,309404152,Pirates of the Caribbean: At World's End ,471220,48350,1238,300000000,5000,7.1,0
602,148,0,161,11000,200074175,Spectre ,275868,11700,994,245000000,393,6.8,85000
813,164,22000,23000,27000,448130642,The Dark Knight Rises ,1144337,106759,2701,250000000,23000,8.5,164000
,,131,,131,,Star Wars: Episode VII - The Force Awakens             ,8,143,,,12,7.1,0
462,132,475,530,640,73058679,John Carter ,212204,1873,738,263700000,632,6.6,24000
392,156,0,4000,24000,336530303,Spider-Man 3 ,383056,46055,1902,258000000,11000,6.2,0
324,100,15,284,799,200807262,Tangled ,294810,2036,387,260000000,553,7.8,29000
635,141,0,19000,26000,458991599,Avengers: Age of Ultron ,462669,92000,1117,250000000,21000,7.5,118000
375,153,282,10000,25000,301956980,Harry Potter and the Half-Blood Prince ,321795,58753,973,250000000,11000,7.5,10000
673,183,0,2000,15000,330249062,Batman v Superman: Dawn of Justice ,371639,24450,3018,250000000,4000,6.9,197000
434,169,0,903,18000,200069408,Superman Returns ,240396,29991,2367,209000000,10000,6.1,0
403,106,395,393,451,168368427,Quantum of Solace ,330784,2023,1243,200000000,412,6.7,0
313,151,563,1000,40000,423032628,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,1832,225000000,5000,7.3,5000
450,150,563,1000,40000,89289910,The Lone Ranger ,181792,45757,711,215000000,2000,6.5,48000
733,143,0,748,15000,291021565,Man of Steel ,548573,20495,2536,225000000,3000,7.2,118000
258,150,80,201,22000,141614023,The Chronicles of Narnia: Prince Caspian ,149922,22697,438,225000000,216,6.6,0
703,173,0,19000,26000,623279547,The Avengers ,995415,87697,1722,220000000,21000,8.1,123000
448,136,252,1000,40000,241063875,Pirates of the Caribbean: On Stranger Tides ,370704,54083,484,250000000,11000,6.7,58000
451,106,188,718,10000,179020854,Men in Black 3 ,268154,12572,341,225000000,816,6.8,40000
422,164,0,773,5000,255108370,The Hobbit: The Battle of the Five Armies ,354228,9152,802,250000000,972,7.5,65000
599,153,464,963,15000,262030663,The Amazing Spider-Man ,451803,28489,1225,230000000,10000,7,56000
343,156,0,738,891,105219735,Robin Hood ,211765,3244,546,200000000,882,6.7,17000
509,186,0,773,5000,258355354,The Hobbit: The Desolation of Smaug ,483540,9152,951,225000000,972,7.9,83000
251,113,129,1000,16000,70083519,The Golden Compass ,149019,24106,666,180000000,6000,6.1,0
446,201,0,84,6000,218051260,King Kong ,316018,7123,2618,207000000,919,7.2,0
315,194,0,794,29000,658672302,Titanic ,793059,45223,2528,200000000,14000,7.7,26000
516,147,94,11000,21000,407197282,Captain America: Civil War ,272670,64798,1022,250000000,19000,8.2,72000
377,131,532,627,14000,65173160,Battleship ,202382,26679,751,209000000,10000,5.9,44000
644,124,365,1000,3000,652177271,Jurassic World ,418214,8458,1290,150000000,2000,7,150000
750,143,0,393,883,304360277,Skyfall ,522030,2039,1498,200000000,563,7.8,80000
300,135,0,4000,24000,373377893,Spider-Man 2 ,411164,43388,1303,200000000,11000,7.3,0
608,195,1000,3000,21000,408992272,Iron Man 3 ,557489,30426,1187,200000000,4000,7.2,95000
451,108,13000,11000,40000,334185206,Alice in Wonderland ,306320,79957,736,200000000,25000,6.5,24000
334,104,420,560,20000,234360014,X-Men: The Last Stand ,383427,21714,1912,210000000,808,6.8,0
376,104,37,760,12000,268488329,Monsters University ,235025,14863,265,200000000,779,7.3,44000
366,150,0,464,894,402076689,Transformers: Revenge of the Fallen ,323207,3218,1439,200000000,581,6,0
378,165,0,808,974,245428137,Transformers: Age of Extinction ,242420,3988,918,210000000,956,5.7,56000
525,130,0,11000,44000,234903076,Oz the Great and Powerful ,175409,73441,511,215000000,15000,6.4,60000
495,142,464,825,15000,202853933,The Amazing Spider-Man 2 ,321227,28631,1067,200000000,10000,6.7,41000
469,125,364,1000,12000,172051787,TRON: Legacy ,264183,25550,665,170000000,10000,6.8,30000
304,106,487,776,1000,191450875,Cars 2 ,101178,4482,283,200000000,919,6.3,10000
436,123,258,326,16000,116593191,Green Lantern ,223393,17657,550,200000000,368,5.6,24000
453,103,125,721,15000,414984497,Toy Story 3 ,544884,19085,733,200000000,1000,8.3,30000
422,118,368,988,23000,125320003,Terminator Salvation ,286095,27468,974,200000000,3000,6.6,0
424,140,0,14000,26000,350034110,Furious 7 ,278232,79150,657,190000000,23000,7.2,94000
654,123,395,1000,17000,202351611,World War Z ,465019,32392,995,190000000,11000,7,129000
539,149,0,20000,34000,233914986,X-Men: Days of Future Past ,514125,91434,752,200000000,22000,8,82000
590,132,14000,928,19000,228756232,Star Trek Into Darkness ,395573,21411,1171,190000000,981,7.8,92000
338,114,0,140,979,65171860,Jack the Giant Slayer ,106416,1766,205,195000000,557,6.3,22000
490,143,1000,77,29000,144812796,The Great Gatsby ,362912,29770,753,105000000,509,7.3,115000
306,116,179,236,15000,90755643,Prince of Persia: The Sands of Time ,222403,16149,453,200000000,567,6.6,23000
575,131,0,919,16000,101785482,Pacific Rim ,381148,19166,1106,190000000,968,7,83000
428,154,0,581,894,352358779,Transformers: Dark of the Moon ,326180,2593,899,195000000,829,6.3,46000
